"#NAME#","#NAME#","JA","EN"
"#PER#%","#PER#%","JA","EN"
"魔界","Netherworld","JA","EN"
"天界","Celestia","JA","EN"
"人間界","Human World","JA","EN"
"魔王","Overlord","JA","EN"
"天使","Angel","JA","EN"
"魔界王子","Demon Prince","JA","EN"
"悪魔","demon","JA","EN"
"堕天使","Fallen Angel","JA","EN"
"マナ","Mana","JA","EN"
"暗黒議会","Dark Assembly","JA","EN"
"ぴょん","Plip","JA","EN"
"キリア様","Sir Killia","JA","EN"
"ッス","dood","JA","EN"
"ラスボス","Final Boss","JA","EN"
"凶乱マカイズム","Disgea Mayhem","JA","EN"
"始煌の","Pristine Glimmer","JA","EN"
"傑超","Super Duper","JA","EN"
"絶勝斎","Zesshosai","JA","EN"
"ラハール","Laharl","JA","EN"
"キリア","Killia","JA","EN"
"ヴァルバトーゼ","Valvatorez","JA","EN"
"アデル","Adell","JA","EN"
"マオ","Mao","JA","EN"
"エトナ","Etna","JA","EN"
"堕天使フロン","Fallen Angel Flonne","JA","EN"
"セラフィーヌ","Seraphina","JA","EN"
"フーカ","Fuka","JA","EN"
"ロザリンド","Rozalin","JA","EN"
"アクターレ","Axel","JA","EN"
"フェンリッヒ","Fenrich","JA","EN"
"マジョリタ","Majorita","JA","EN"
"エミーゼル","Emizel","JA","EN"
"バルバラ","Barbara","JA","EN"
"ラハールちゃん","Girl Laharl","JA","EN"
"クリスト","Christo","JA","EN"
"ゼロッケン","Zeroken","JA","EN"
"レッドマグナス","Red Magnus","JA","EN"
"クリチェフスコイ","Krichevskoy","JA","EN"
"シシリー","Sicily","JA","EN"
"アルマース","Almaz","JA","EN"
"ビッグスター様","Master Big Star","JA","EN"
"極上のサルバトーレ","Salvatore","JA","EN"
"サファイア","Sapphire","JA","EN"
"ブラッディス","Bloodis","JA","EN"
"ナギ","Nagi","JA","EN"
"ルチル","Rutile","JA","EN"
"ステラ","Stella","JA","EN"
"ゼノリス","Xenolith","JA","EN"
"ピュアフロン","Pure Flonne","JA","EN"
"天使長フロン","Archangel Flonne","JA","EN"
"ヴォイドダーク","Void Dark","JA","EN"
"アルティナ","Artina","JA","EN"
"シスターアルティナ","Sister Artina","JA","EN"
"暴君ヴァルバトーゼ","Tyrant Valvatorez","JA","EN"
"覚醒キリア","Awakened Killia","JA","EN"
"暴虐の魔王キリディア","Tyrant Overlord Killidia","JA","EN"
"魔神エトナ","Majin Etna","JA","EN"
"主人公アサギ","Heroine Asagi","JA","EN"
"ゴードン","Gordon","JA","EN"
"ジェニファー","Jennifer","JA","EN"
"チャンプル先生","Mr. Champloo","JA","EN"
"雪丸","Yukimaru","JA","EN"
"斧雪","Fubuki","JA","EN"
"覚醒ロザリンド","Awakened Rozalin","JA","EN"
"プレネールさん","Pleinair","JA","EN"
"黒サンタラハール","Dark Santa Laharl","JA","EN"
"ノエル","Noel","JA","EN"
"晴れ着ロザリンド","Attired Rozalin","JA","EN"
"ピュアシシリー","Pure Sicily","JA","EN"
"ダークアルティナ","Dark Artina","JA","EN"
"ラブオラクル","Love Oracle","JA","EN"
"バニーセラフィーヌ","Bunny Seraphina","JA","EN"
"イースターマオ","Easter Mao","JA","EN"
"体操服フーカ","Gym Shorts Fuka","JA","EN"
"アヤメ","Ayame","JA","EN"
"ヴィルンガ","Virunga","JA","EN"
"虎千代","Torachiyo","JA","EN"
"ディエス","Diez","JA","EN"
"ルーシー","Lucy","JA","EN"
"水着ラハールちゃん","Swimsuit Girl Laharl","JA","EN"
"水着エトナ","Swimsuit Etna","JA","EN"
"水着フロン","Swimsuit Flonne","JA","EN"
"メーヴェル","Meaver","JA","EN"
"マリン","Marlene","JA","EN"
"フーカXENO","Fuka XENO","JA","EN"
"ラズベリルXENO","Raspberyl XENO","JA","EN"
"浴衣ヴァルバトーゼ","Yukata Valvatorez","JA","EN"
"浴衣雪丸","Yukata Yukimaru","JA","EN"
"ヒバナ","Hibana","JA","EN"
"メリオダス","Meliodas","JA","EN"
"エリザベス","Elizabeth","JA","EN"
"バン","Ban","JA","EN"
"ディアンヌ","Diane","JA","EN"
"ゴウセル","Gowther","JA","EN"
"美少女悪魔エリザベス","Cutie Demon Elizabeth","JA","EN"
"リオネス王女エトナ","Liones Princess Etna","JA","EN"
"マーリン","Merlin","JA","EN"
"キング","King","JA","EN"
"ラブリーフロン","Cute Flonne","JA","EN"
"ラブリーチャチャ","Cute Chacha","JA","EN"
"ラブリーメイリン","Cute Mei Ling","JA","EN"
"マオXENO","Mao XENO","JA","EN"
"ハロウィンマジョリタ","Halloween Majorita","JA","EN"
"ハロウィンアルティナ","Halloween Artina","JA","EN"
"ハロウィンラハール","Halloween Laharl","JA","EN"
"ゼット","Zed","JA","EN"
"マジョレーヌ","Majolene","JA","EN"
